Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Kingdom	Phylum	Class	Order	Family	Genus	Species
UP000621168	Corythaeola cristata	103954	11501		Unknown	Metazoa	Chordata	Aves	Musophagiformes	Musophagidae	Corythaeola	Corythaeola cristata
UP000623542	Elachura formosa	1463973	13998		Unknown	Metazoa	Chordata	Aves	Passeriformes	Elachuridae	Elachura	Elachura formosa
UP000625584	Passerina amoena	142471	12951		Unknown	Metazoa	Chordata	Aves	Passeriformes	Cardinalidae	Passerina	Passerina amoena
UP000627253	Tricholaema leucomelas	240729	14305		Unknown	Metazoa	Chordata	Aves	Piciformes	Lybiidae	Tricholaema lacrymosa	Tricholaema leucomelas
UP000628412	Aegithalos caudatus	73327	13234		Unknown	Metazoa	Chordata	Aves	Passeriformes	Aegithalidae	Aegithalos	Aegithalos caudatus
UP000629438	Tichodroma muraria	237442	11478		Unknown	Metazoa	Chordata	Aves	Passeriformes	Sittidae	Tichodroma	Tichodroma muraria
UP000629713	Peucedramus taeniatus	135441	13643		Unknown	Metazoa	Chordata	Aves	Passeriformes	Fringillidae	Peucedramus	Peucedramus taeniatus
UP000631391	Picathartes gymnocephalus	175131	13505		Unknown	Metazoa	Chordata	Aves	Passeriformes	Picathartidae	Picathartes	Picathartes gymnocephalus
UP000631545	Tychaedon coryphoeus	614051	13529		Unknown	Metazoa	Chordata	Aves	Passeriformes	Muscicapidae	Cercotrichas	Tychaedon coryphoeus
UP000632118	Fregata magnificens	37042	13159		Unknown	Metazoa	Chordata	Aves	Suliformes	Fregatidae	Fregata	Fregata magnificens
